"Title","Sex","Age_Class","Year"
"1206",NA,"Adult",1997
"1208",NA,"Adult",1997
"1217",NA,"Adult",1997
"1219",NA,"Adult",1997
"1220",NA,"Adult",1997
"1221",NA,"Adult",1997
"1227",NA,"Adult",1997
"1229",NA,"Adult",1997
"1233",NA,"Adult",1997
"1234",NA,"Adult",1997
"1237",NA,"Adult",1997
"1239","FemaleJ","Juvenile",1997
"124","Male","Adult",1997
"1244",NA,"Adult",1997
"1247",NA,"Adult",1997
"1248",NA,"Adult",1997
"1249",NA,"Adult",1997
"1251",NA,"Adult",1997
"1253","FemaleJ","Adult",1997
"1254","FemaleJ","Adult",1997
"1255",NA,"Adult",1997
"1258","FemaleJ","Adult",1997
"1261",NA,"Adult",1997
"1264",NA,"Adult",1997
"1266",NA,"Adult",1997
"1267","FemaleJ","Adult",1997
"127",NA,"Adult",1997
"1270",NA,"Adult",1997
"1272",NA,"Juvenile",1997
"1274",NA,"Calf",1997
"1275",NA,"Adult",1997
"1276","FemaleJ","Juvenile",1997
"1277",NA,"Adult",1997
"1280",NA,"Adult",1997
"1281",NA,"Adult",1997
"1284","FemaleJ","Juvenile",1997
"1285",NA,"Calf",1997
"1291",NA,"Juvenile",1997
"1292","Male","Adult",1997
"1293","Male","Adult",1997
"1296",NA,"Adult",1997
"1297",NA,"Adult",1997
"1301","FemaleJ","Adult",1997
"1307","FemaleJ","Adult",1997
"1309",NA,"Adult",1997
"131","FemaleJ","Adult",1997
"1311",NA,"Adult",1997
"1313","FemaleJ","Adult",1997
"1315","FemaleJ","Adult",1997
"1317",NA,"Adult",1997
"1318","FemaleJ","Adult",1997
"1320",NA,"Adult",1997
"1325","FemaleJ","Adult",1997
"1329","FemaleJ","Adult",1997
"1332","FemaleJ","Adult",1997
"1334","FemaleJ","Juvenile",1997
"1335",NA,"Adult",1997
"1336","FemaleJ","Adult",1997
"1337","FemaleJ","Adult",1997
"1344","FemaleJ","Adult",1997
"1345","Male","Adult",1997
"1346","FemaleJ","Adult",1997
"1348",NA,"Adult",1997
"1350",NA,"Adult",1997
"1351","FemaleJ","Adult",1997
"1354",NA,"Adult",1997
"1357","FemaleJ","Adult",1997
"1358","FemaleJ","Adult",1997
"1362","FemaleJ","Adult",1997
"1364","FemaleJ","Adult",1997
"1369",NA,"Adult",1997
"1370","FemaleJ","Adult",1997
"143",NA,"Adult",1997
"159","FemaleJ","Adult",1997
"162","FemaleJ","Adult",1997
"170","FemaleJ","Adult",1997
"18","Male","Adult",1997
"185","Male","Adult",1997
"251","FemaleJ","Adult",1997
"28","Male","Adult",1997
"317",NA,"Adult",1997
"37","Male","Adult",1997
"409","FemaleJ","Adult",1997
"413","Male","Adult",1997
"45","Male","Adult",1997
"480","Male","Adult",1997
"5",NA,"Adult",1997
"507","FemaleJ","Adult",1997
"509","Male","Adult",1997
"54","FemaleJ","Adult",1997
"59","FemaleJ","Adult",1997
"606","Male","Adult",1997
"619","FemaleJ","Adult",1997
"624","FemaleJ","Adult",1997
